"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","OwningProcess"
"::","64972","::","0","Bound","3564"
"::","64971","::","0","Bound","3564"
"::","64316","::","0","Bound","8680"
"::","64202","::","0","Bound","4616"
"::","64198","::","0","Bound","4616"
"::","64196","::","0","Bound","4616"
"::","64162","::","0","Bound","3336"
"::","63255","::","0","Bound","9656"
"::","61159","::","0","Bound","1488"
"::","60091","::","0","Bound","1488"
"fd17:625c:f037:2:54ac:1951:5171:94f5","64972","2603:1020:805:3::400","443","Established","3564"
"fd17:625c:f037:2:54ac:1951:5171:94f5","64971","2603:1020:805:3::400","443","Established","3564"
"fd17:625c:f037:2:54ac:1951:5171:94f5","64316","2603:1061:14:177::1","443","Established","8680"
"fd17:625c:f037:2:54ac:1951:5171:94f5","64202","2607:6bc0::10","443","Established","4616"
"fd17:625c:f037:2:54ac:1951:5171:94f5","64198","2607:6bc0::10","443","Established","4616"
"fd17:625c:f037:2:54ac:1951:5171:94f5","64196","2607:6bc0::10","443","Established","4616"
"fd17:625c:f037:2:54ac:1951:5171:94f5","64162","2607:6bc0::10","443","Established","3336"
"fd17:625c:f037:2:54ac:1951:5171:94f5","63255","2620:1ec:33::11","443","Established","9656"
"fd17:625c:f037:2:54ac:1951:5171:94f5","61159","2a00:1450:400c:c21::bc","5228","Established","1488"
"fd17:625c:f037:2:54ac:1951:5171:94f5","60091","2a02:26f0:680:c1::17de:fa67","443","CloseWait","1488"
"::","49670","::","0","Listen","816"
"::","49668","::","0","Listen","3128"
"::","49667","::","0","Listen","2536"
"::","49666","::","0","Listen","1976"
"::","49665","::","0","Listen","676"
"::","49664","::","0","Listen","836"
"::1","42050","::","0","Listen","7496"
"::","7680","::","0","Listen","2600"
"::","445","::","0","Listen","4"
"::","135","::","0","Listen","528"
"0.0.0.0","65465","0.0.0.0","0","Bound","1488"
"0.0.0.0","64203","0.0.0.0","0","Bound","4616"
"0.0.0.0","64199","0.0.0.0","0","Bound","4616"
"0.0.0.0","64194","0.0.0.0","0","Bound","4616"
"0.0.0.0","64193","0.0.0.0","0","Bound","4616"
"0.0.0.0","64192","0.0.0.0","0","Bound","4616"
"0.0.0.0","64191","0.0.0.0","0","Bound","4616"
"0.0.0.0","64190","0.0.0.0","0","Bound","4616"
"0.0.0.0","64189","0.0.0.0","0","Bound","4616"
"0.0.0.0","64188","0.0.0.0","0","Bound","4616"
"0.0.0.0","64186","0.0.0.0","0","Bound","4616"
"0.0.0.0","64174","0.0.0.0","0","Bound","3336"
"0.0.0.0","64160","0.0.0.0","0","Bound","3336"
"0.0.0.0","62247","0.0.0.0","0","Bound","10136"
"0.0.0.0","60455","0.0.0.0","0","Bound","8680"
"0.0.0.0","57995","0.0.0.0","0","Bound","1696"
"0.0.0.0","52817","0.0.0.0","0","Bound","12192"
"10.0.2.15","65465","140.82.112.25","443","Established","1488"
"10.0.2.15","64203","160.79.104.10","443","Established","4616"
"10.0.2.15","64199","160.79.104.10","443","Established","4616"
"10.0.2.15","64194","160.79.104.10","443","Established","4616"
"10.0.2.15","64193","160.79.104.10","443","Established","4616"
"10.0.2.15","64192","160.79.104.10","443","Established","4616"
"10.0.2.15","64191","160.79.104.10","443","Established","4616"
"10.0.2.15","64190","160.79.104.10","443","Established","4616"
"10.0.2.15","64189","160.79.104.10","443","Established","4616"
"10.0.2.15","64188","160.79.104.10","443","Established","4616"
"10.0.2.15","64186","160.79.104.10","443","Established","4616"
"127.0.0.1","64175","0.0.0.0","0","Listen","4612"
"10.0.2.15","64174","160.79.104.10","443","Established","3336"
"10.0.2.15","64160","160.79.104.10","443","Established","3336"
"10.0.2.15","62247","40.126.31.73","443","Established","10136"
"10.0.2.15","61457","135.233.45.222","443","TimeWait","0"
"10.0.2.15","60455","52.152.143.207","443","CloseWait","8680"
"10.0.2.15","57995","20.42.73.31","443","Established","1696"
"127.0.0.1","56384","0.0.0.0","0","Listen","4612"
"127.0.0.1","53928","0.0.0.0","0","Listen","12328"
"10.0.2.15","52817","20.166.131.27","443","Established","12192"
"10.0.2.15","50909","199.232.170.172","80","TimeWait","0"
"0.0.0.0","49670","0.0.0.0","0","Listen","816"
"0.0.0.0","49668","0.0.0.0","0","Listen","3128"
"0.0.0.0","49667","0.0.0.0","0","Listen","2536"
"0.0.0.0","49666","0.0.0.0","0","Listen","1976"
"0.0.0.0","49665","0.0.0.0","0","Listen","676"
"0.0.0.0","49664","0.0.0.0","0","Listen","836"
"0.0.0.0","5040","0.0.0.0","0","Listen","5360"
"10.0.2.15","139","0.0.0.0","0","Listen","4"
"0.0.0.0","135","0.0.0.0","0","Listen","528"
