Volatility 3 Framework 2.28.0
PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
13952	960	OpenConsole.ex	0x968f1871c080	0	-	1	False	2026-09-08 09:39:32.000000 UTC	2026-09-08 09:39:41.000000 UTC	Disabled
5916	1976	taskhostw.exe	0x968f18805080	9	-	1	False	2026-09-08 08:52:37.000000 UTC	N/A	Disabled
96	4	Registry	0x968f1882c080	4	-	N/A	False	2026-09-08 08:51:11.000000 UTC	N/A	Disabled
2672	2980	ctfmon.exe	0x968f18948080	12	-	1	False	2026-09-08 08:52:40.000000 UTC	N/A	Disabled
8912	960	AppActions.exe	0x968f1897e080	7	-	1	False	2026-09-08 08:55:17.000000 UTC	N/A	Disabled
5528	5484	explorer.exe	0x968f1b361080	103	-	1	False	2026-09-08 08:52:34.000000 UTC	N/A	Disabled
420	4	smss.exe	0x968f1b588040	2	-	N/A	False	2026-09-08 08:51:12.000000 UTC	N/A	Disabled
836	676	lsass.exe	0x968f1bd53080	12	-	0	False	2026-09-08 08:51:13.000000 UTC	N/A	Disabled
792	816	sppsvc.exe	0x968f1bd8a080	0	-	0	False	2026-09-08 08:51:13.000000 UTC	2026-09-08 08:55:01.000000 UTC	Disabled
600	564	csrss.exe	0x968f1bddf080	11	-	0	False	2026-09-08 08:51:12.000000 UTC	N/A	Disabled
684	664	csrss.exe	0x968f1bf370c0	13	-	1	False	2026-09-08 08:51:12.000000 UTC	N/A	Disabled
676	564	wininit.exe	0x968f1bf56080	2	-	0	False	2026-09-08 08:51:12.000000 UTC	N/A	Disabled
748	664	winlogon.exe	0x968f1bf92080	6	-	1	False	2026-09-08 08:51:12.000000 UTC	N/A	Disabled
816	676	services.exe	0x968f1bfdb080	10	-	0	False	2026-09-08 08:51:12.000000 UTC	N/A	Disabled
1008	676	fontdrvhost.ex	0x968f1bfdf080	5	-	0	False	2026-09-08 08:51:13.000000 UTC	N/A	Disabled
960	816	svchost.exe	0x968f1d1be240	15	-	0	False	2026-09-08 08:51:13.000000 UTC	N/A	Disabled
1000	748	fontdrvhost.ex	0x968f1d1ec140	5	-	1	False	2026-09-08 08:51:13.000000 UTC	N/A	Disabled
528	816	svchost.exe	0x968f1d256080	12	-	0	False	2026-09-08 08:51:13.000000 UTC	N/A	Disabled
540	816	svchost.exe	0x968f1d295240	5	-	0	False	2026-09-08 08:51:13.000000 UTC	N/A	Disabled
12644	10956	chrome.exe	0x968f1d299080	14	-	1	False	2026-09-08 09:11:46.000000 UTC	N/A	Disabled
1032	748	dwm.exe	0x968f1d2bf080	25	-	1	False	2026-09-08 08:51:13.000000 UTC	N/A	Disabled
1080	816	svchost.exe	0x968f1d311240	1	-	0	False	2026-09-08 08:51:13.000000 UTC	N/A	Disabled
1148	816	svchost.exe	0x968f1d345080	3	-	0	False	2026-09-08 08:51:13.000000 UTC	N/A	Disabled
1228	816	svchost.exe	0x968f1d37b080	5	-	0	False	2026-09-08 08:51:14.000000 UTC	N/A	Disabled
1256	816	svchost.exe	0x968f1d3cf080	2	-	0	False	2026-09-08 08:51:14.000000 UTC	N/A	Disabled
1292	816	svchost.exe	0x968f1d427240	10	-	0	False	2026-09-08 08:51:14.000000 UTC	N/A	Disabled
1544	816	svchost.exe	0x968f1d5690c0	3	-	0	False	2026-09-08 08:51:19.000000 UTC	N/A	Disabled
1580	816	svchost.exe	0x968f1d571080	11	-	0	False	2026-09-08 08:51:19.000000 UTC	N/A	Disabled
1640	816	svchost.exe	0x968f1d5d9240	7	-	0	False	2026-09-08 08:51:19.000000 UTC	N/A	Disabled
1960	816	svchost.exe	0x968f1d679080	11	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	Disabled
1776	816	svchost.exe	0x968f1d67c080	10	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	Disabled
1720	816	svchost.exe	0x968f1d6860c0	6	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	Disabled
4220	816	svchost.exe	0x968f1d804080	5	-	1	False	2026-09-08 08:53:27.000000 UTC	N/A	Disabled
1968	816	svchost.exe	0x968f1d808080	10	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	Disabled
1976	816	svchost.exe	0x968f1d815240	13	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	Disabled
4616	4612	claude.exe	0x968f1d905080	14	-	1	False	2026-09-08 09:36:37.000000 UTC	N/A	Disabled
2060	816	svchost.exe	0x968f1d909080	2	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	Disabled
2068	816	svchost.exe	0x968f1d90d080	6	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	Disabled
2396	816	svchost.exe	0x968f1d9b8080	4	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	Disabled
3604	816	SearchIndexer.	0x968f1daf3080	19	-	0	False	2026-09-08 08:52:18.000000 UTC	N/A	Disabled
2804	816	svchost.exe	0x968f1db79080	5	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	Disabled
3392	816	svchost.exe	0x968f1dc07080	5	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
2536	816	svchost.exe	0x968f1dc0c0c0	9	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	Disabled
2860	816	svchost.exe	0x968f1dc130c0	3	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	Disabled
2644	816	svchost.exe	0x968f1dc280c0	6	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	Disabled
2632	816	svchost.exe	0x968f1dc2e0c0	6	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	Disabled
2612	816	svchost.exe	0x968f1dc390c0	7	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	Disabled
11704	960	smartscreen.ex	0x968f1dc3b080	8	-	1	False	2026-09-08 09:39:32.000000 UTC	N/A	Disabled
2660	816	svchost.exe	0x968f1dc790c0	4	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	Disabled
3176	816	svchost.exe	0x968f1dcd7080	19	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3204	816	svchost.exe	0x968f1dce4080	4	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3424	816	svchost.exe	0x968f1dd2d080	7	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3412	816	svchost.exe	0x968f1dd42080	15	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3400	816	svchost.exe	0x968f1dd6d080	13	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3128	816	spoolsv.exe	0x968f1dd7c080	7	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
2980	816	svchost.exe	0x968f1de07080	7	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	Disabled
3032	816	svchost.exe	0x968f1de3e080	3	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3024	816	svchost.exe	0x968f1de42080	2	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	Disabled
2440	816	svchost.exe	0x968f1dea5080	6	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
9064	960	Widgets.exe	0x968f1debe080	13	-	1	False	2026-09-08 09:12:47.000000 UTC	N/A	Disabled
12924	12836	msedgewebview2	0x968f1dec9080	10	-	1	False	2026-09-08 09:12:51.000000 UTC	N/A	Disabled
7040	816	svchost.exe	0x968f1dfc0080	10	-	0	False	2026-09-08 08:53:12.000000 UTC	N/A	Disabled
4980	816	svchost.exe	0x968f1dfe60c0	9	-	0	False	2026-09-08 08:52:13.000000 UTC	N/A	Disabled
4164	816	svchost.exe	0x968f1f0ab080	7	-	0	False	2026-09-08 08:52:30.000000 UTC	N/A	Disabled
7828	816	svchost.exe	0x968f1f0d1080	2	-	0	False	2026-09-08 08:52:54.000000 UTC	N/A	Disabled
1304	816	svchost.exe	0x968f1f22b080	10	-	0	False	2026-09-08 08:52:25.000000 UTC	N/A	Disabled
2836	4	MemCompression	0x968f1f2dc080	46	-	N/A	False	2026-09-08 08:51:21.000000 UTC	N/A	Disabled
3572	816	svchost.exe	0x968f1f2ee080	1	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3564	816	svchost.exe	0x968f1f2f0080	6	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3552	816	MsMpEng.exe	0x968f1f2f3080	17	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3540	816	svchost.exe	0x968f1f2f6080	18	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3532	816	svchost.exe	0x968f1f2f8080	4	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3488	816	svchost.exe	0x968f1f36a080	7	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
3348	816	svchost.exe	0x968f1f372080	8	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
2928	816	svchost.exe	0x968f1f3760c0	11	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	Disabled
3708	816	svchost.exe	0x968f1f669080	11	-	0	False	2026-09-08 08:52:15.000000 UTC	N/A	Disabled
3656	816	svchost.exe	0x968f1f6cf080	5	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	Disabled
972	1976	taskhostw.exe	0x968f1f703080	0	-	0	False	2026-09-08 09:40:44.000000 UTC	2026-09-08 09:40:44.000000 UTC	Disabled
11488	10956	chrome.exe	0x968f1f7650c0	15	-	1	False	2026-09-08 09:11:49.000000 UTC	N/A	Disabled
4840	816	svchost.exe	0x968f1f7c5080	4	-	0	False	2026-09-08 08:52:11.000000 UTC	N/A	Disabled
