Volatility 3 Framework 2.28.0
PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path
4	0	System	0x968f1869d040	165	-	N/A	False	2026-09-08 08:51:12.000000 UTC	N/A	-	-	-
* 96	4	Registry	0x968f1882c080	4	-	N/A	False	2026-09-08 08:51:11.000000 UTC	N/A	Registry	-	-
* 420	4	smss.exe	0x968f1b588040	2	-	N/A	False	2026-09-08 08:51:12.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\smss.exe	-	-
* 2836	4	MemCompression	0x968f1f2dc080	46	-	N/A	False	2026-09-08 08:51:21.000000 UTC	N/A	MemCompression	-	-
600	564	csrss.exe	0x968f1bddf080	11	-	0	False	2026-09-08 08:51:12.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\WINDOWS\system32\csrss.exe
676	564	wininit.exe	0x968f1bf56080	2	-	0	False	2026-09-08 08:51:12.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\wininit.exe	wininit.exe	C:\WINDOWS\system32\wininit.exe
* 816	676	services.exe	0x968f1bfdb080	10	-	0	False	2026-09-08 08:51:12.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\services.exe	C:\WINDOWS\system32\services.exe	C:\WINDOWS\system32\services.exe
** 7680	816	svchost.exe	0x968f221340c0	0	-	0	False	2026-09-08 08:52:49.000000 UTC	2026-09-08 08:56:10.000000 UTC	\Device\HarddiskVolume4\Windows\System32\svchost.exe	-	-
** 1544	816	svchost.exe	0x968f1d5690c0	3	-	0	False	2026-09-08 08:51:19.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder	C:\WINDOWS\System32\svchost.exe
** 2060	816	svchost.exe	0x968f1d909080	2	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService	C:\WINDOWS\System32\svchost.exe
** 528	816	svchost.exe	0x968f1d256080	12	-	0	False	2026-09-08 08:51:13.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k RPCSS -p	C:\WINDOWS\system32\svchost.exe
** 2068	816	svchost.exe	0x968f1d90d080	6	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	-	-
** 3604	816	SearchIndexer.	0x968f1daf3080	19	-	0	False	2026-09-08 08:52:18.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\SearchIndexer.exe	C:\WINDOWS\system32\SearchIndexer.exe /Embedding	C:\WINDOWS\system32\SearchIndexer.exe
*** 11328	3604	SearchFilterHo	0x968f25e18080	6	-	0	False	2026-09-08 09:39:53.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\SearchFilterHost.exe	"C:\WINDOWS\System32\SearchFilterHost.exe" 908 2708 2704 892 {5E941D80-BF96-11CD-B579-08002B30BFEB}	C:\WINDOWS\System32\SearchFilterHost.exe
*** 2812	3604	SearchProtocol	0x968f262680c0	8	-	0	False	2026-09-08 09:36:38.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\SearchProtocolHost.exe	"C:\WINDOWS\System32\SearchProtocolHost.exe" Global\UsGthrFltPipeMssGthrPipe8_ Global\UsGthrCtrlFltPipeMssGthrPipe8 1 -2147483646 "Software\Microsoft\Windows Search" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)" "C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc" "DownLevelDaemon" 	C:\WINDOWS\System32\SearchProtocolHost.exe
** 540	816	svchost.exe	0x968f1d295240	5	-	0	False	2026-09-08 08:51:13.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM	C:\WINDOWS\system32\svchost.exe
** 2600	816	svchost.exe	0x968f225d5080	11	-	0	False	2026-09-08 08:53:44.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -p	C:\WINDOWS\System32\svchost.exe
** 1580	816	svchost.exe	0x968f1d571080	11	-	0	False	2026-09-08 08:51:19.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p	C:\WINDOWS\System32\svchost.exe
*** 9440	1580	audiodg.exe	0x968f2719e080	8	-	0	False	2026-09-08 09:39:45.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\audiodg.exe	C:\WINDOWS\system32\AUDIODG.EXE 0x00000000000004F8	C:\WINDOWS\system32\AUDIODG.EXE
** 2612	816	svchost.exe	0x968f1dc390c0	7	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp	C:\WINDOWS\system32\svchost.exe
** 1080	816	svchost.exe	0x968f1d311240	1	-	0	False	2026-09-08 08:51:13.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s DeviceInstall	C:\WINDOWS\system32\svchost.exe
** 3128	816	spoolsv.exe	0x968f1dd7c080	7	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\spoolsv.exe	C:\WINDOWS\System32\spoolsv.exe	C:\WINDOWS\System32\spoolsv.exe
** 7232	816	svchost.exe	0x968f23672080	7	-	0	False	2026-09-08 09:40:11.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k WerSvcGroup	C:\WINDOWS\System32\svchost.exe
** 4164	816	svchost.exe	0x968f1f0ab080	7	-	0	False	2026-09-08 08:52:30.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	-	-
** 2632	816	svchost.exe	0x968f1dc2e0c0	6	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p -s EventSystem	C:\WINDOWS\system32\svchost.exe
** 3656	816	svchost.exe	0x968f1f6cf080	5	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost	C:\WINDOWS\System32\svchost.exe
** 7244	816	svchost.exe	0x968f20b27080	1	-	0	False	2026-09-08 08:53:03.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k WuqiSvcGroup -p -s wuqisvc	C:\WINDOWS\system32\svchost.exe
** 2640	816	svchost.exe	0x968f1ff69080	4	-	1	False	2026-09-08 08:52:31.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc	C:\WINDOWS\system32\svchost.exe
** 2644	816	svchost.exe	0x968f1dc280c0	6	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain	C:\WINDOWS\system32\svchost.exe
** 3680	816	MidiSrv.exe	0x968f23504080	3	-	0	False	2026-09-08 08:57:13.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\MidiSrv.exe	C:\WINDOWS\system32\midisrv.exe	C:\WINDOWS\system32\midisrv.exe
** 2660	816	svchost.exe	0x968f1dc790c0	4	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s Themes	C:\WINDOWS\System32\svchost.exe
** 1640	816	svchost.exe	0x968f1d5d9240	7	-	0	False	2026-09-08 08:51:19.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k appmodel -p -s StateRepository	C:\WINDOWS\system32\svchost.exe
** 3176	816	svchost.exe	0x968f1dcd7080	19	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p	C:\WINDOWS\system32\svchost.exe
** 7272	816	svchost.exe	0x968f20d7a080	6	-	1	False	2026-09-08 08:52:48.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup -s UdkUserSvc	C:\WINDOWS\system32\svchost.exe
** 3708	816	svchost.exe	0x968f1f669080	11	-	0	False	2026-09-08 08:52:15.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc	C:\WINDOWS\system32\svchost.exe
** 4220	816	svchost.exe	0x968f1d804080	5	-	1	False	2026-09-08 08:53:27.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup	C:\WINDOWS\system32\svchost.exe
** 1148	816	svchost.exe	0x968f1d345080	3	-	0	False	2026-09-08 08:51:13.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p	C:\WINDOWS\system32\svchost.exe
** 3204	816	svchost.exe	0x968f1dce4080	4	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation	C:\WINDOWS\System32\svchost.exe
** 7828	816	svchost.exe	0x968f1f0d1080	2	-	0	False	2026-09-08 08:52:54.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p	C:\WINDOWS\System32\svchost.exe
** 4248	816	SecurityHealth	0x968f235e9080	14	-	0	False	2026-09-08 08:54:46.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\SecurityHealthService.exe	C:\WINDOWS\system32\SecurityHealthService.exe	C:\WINDOWS\system32\SecurityHealthService.exe
** 4788	816	svchost.exe	0x968f20807080	11	-	0	False	2026-09-08 08:53:26.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc	C:\WINDOWS\System32\svchost.exe
** 1720	816	svchost.exe	0x968f1d6860c0	6	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi	C:\WINDOWS\system32\svchost.exe
** 5820	816	svchost.exe	0x968f200c7080	4	-	0	False	2026-09-08 08:52:36.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo	C:\WINDOWS\system32\svchost.exe
** 12988	816	svchost.exe	0x968f268b80c0	7	-	0	False	2026-09-08 09:38:08.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k GPSvcGroup	C:\WINDOWS\system32\svchost.exe
** 1228	816	svchost.exe	0x968f1d37b080	5	-	0	False	2026-09-08 08:51:14.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k UserProfileService -p -s ProfSvc	C:\WINDOWS\system32\svchost.exe
** 2764	816	svchost.exe	0x968f201db080	3	-	1	False	2026-09-08 08:52:31.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s webthreatdefusersvc	C:\WINDOWS\system32\svchost.exe
** 1256	816	svchost.exe	0x968f1d3cf080	2	-	0	False	2026-09-08 08:51:14.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc	C:\WINDOWS\system32\svchost.exe
** 4840	816	svchost.exe	0x968f1f7c5080	4	-	0	False	2026-09-08 08:52:11.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalService -p -s LicenseManager	C:\WINDOWS\System32\svchost.exe
** 1776	816	svchost.exe	0x968f1d67c080	10	-	0	False	2026-09-08 08:51:20.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k netprofm -p -s netprofm	C:\WINDOWS\System32\svchost.exe
** 5360	816	svchost.exe	0x968f200da080	6	-	0	False	2026-09-08 08:52:32.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CDPSvc	C:\WINDOWS\system32\svchost.exe
** 2804	816	svchost.exe	0x968f1db79080	5	-	0	False	2026-09-08 08:51:21.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceHttp -p	C:\WINDOWS\system32\svchost.exe
** 1292	816	svchost.exe	0x968f1d427240	10	-	0	False	2026-09-08 08:51:14.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager	C:\WINDOWS\system32\svchost.exe
*** 1500	1292	sihost.exe	0x968f1ff6d080	14	-	1	False	2026-09-08 08:52:31.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\sihost.exe	sihost.exe	C:\WINDOWS\system32\sihost.exe
**** 5600	1500	ShellHost.exe	0x968f20550080	5	-	1	False	2026-09-08 08:52:34.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\ShellHost.exe	"C:\Windows\System32\ShellHost.exe"	C:\Windows\System32\ShellHost.exe
**** 5312	1500	CrossDeviceRes	0x968f2079a080	4	-	1	False	2026-09-08 08:52:39.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe	"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe" /tileid MicrosoftWindows.Client.CBS_cw5n1h2txyewy!CrossDeviceResumeApp	C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe
** 14092	816	svchost.exe	0x968f270320c0	16	-	0	False	2026-09-08 09:38:19.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s BITS	C:\WINDOWS\System32\svchost.exe
** 3348	816	svchost.exe	0x968f1f372080	8	-	0	False	2026-09-08 08:51:22.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s BDESVC	C:\WINDOWS\System32\svchost.exe
** 792	816	sppsvc.exe	0x968f1bd8a080	0	-	0	False	2026-09-08 08:51:13.000000 UTC	2026-09-08 08:55:01.000000 UTC	\Device\HarddiskVolume4\Windows\System32\sppsvc.exe	-	-
