"FullName","Length","LastWriteTime"
"C:\WindSyst\platforms",,"9/8/2026 11:39:59 AM"
"C:\WindSyst\Env.exe","53248","8/13/2022 11:31:54 PM"
"C:\WindSyst\libgcc_s_dw2-1.dll","120334","8/13/2022 11:34:50 PM"
"C:\WindSyst\libstdc++-6.dll","1540622","8/13/2022 11:34:56 PM"
"C:\WindSyst\libwinpthread-1.dll","79360","8/13/2022 11:34:48 PM"
"C:\WindSyst\Qt5Core.dll","6097408","8/13/2022 11:32:42 PM"
"C:\WindSyst\Qt5Gui.dll","6205440","8/13/2022 11:32:54 PM"
"C:\WindSyst\Qt5Network.dll","1798144","8/13/2022 11:33:06 PM"
"C:\WindSyst\Qt5Widgets.dll","6355456","8/13/2022 11:33:22 PM"
"C:\WindSyst\Res.exe","25088","8/22/2022 3:39:58 PM"
